user,created,karma,submitted
spyder,1283286407.0,899.0,539.0
spydum,1277398589.0,1809.0,802.0
spyspy,1399308741.0,945.0,179.0
sqeaky,1430152765.0,2240.0,1315.0
sqldba,1428896589.0,1078.0,303.0
squigg,1357442710.0,39.0,2.0
srathi,1344236998.0,1419.0,208.0
srcmap,1373225531.0,230.0,160.0
sreque,1239729359.0,895.0,270.0
sridca,1424330491.0,706.0,343.0
ssijak,1372851196.0,1085.0,310.0
st3fan,1203094407.0,4081.0,1188.0
st3v3r,1453489590.0,1187.0,1950.0
staltz,1361546649.0,1845.0,135.0
stared,1346599528.0,3838.0,1069.0
steego,1395225537.0,1173.0,330.0
steejk,1399458394.0,49.0,32.0
steeve,1347931886.0,1242.0,289.0
stemuk,1455188267.0,173.0,87.0
stepny,1458749737.0,191.0,40.0
stepri,1399150469.0,10.0,11.0
stesch,1188408606.0,3864.0,711.0
stinos,1343318380.0,2960.0,1236.0
stober,1302483635.0,14.0,3.0
stormy,1210621714.0,148.0,9.0
stowga,1512388381.0,1.0,1.0
strken,1483994747.0,878.0,99.0
stuaxo,1207063010.0,1824.0,1279.0
stvnbn,1408261296.0,4.0,6.0
styfle,1474403586.0,330.0,191.0
styx31,1423419305.0,475.0,11.0
subhrm,1425492090.0,13.0,17.0
subirm,1513150243.0,-5.0,3.0
subway,1284059897.0,2068.0,511.0
suchow,1352956985.0,222.0,66.0
sudo-i,1415034310.0,12.0,14.0
suhith,1462000438.0,32.0,29.0
sukruh,1391340262.0,125.0,38.0
sumedh,1381840018.0,703.0,651.0
sumo89,1422460019.0,3.0,3.0
sumodm,1454355468.0,4.0,3.0
sungam,1194884851.0,49.0,23.0
sunseb,1369570460.0,472.0,121.0
suresk,1323320004.0,789.0,248.0
susi22,1363559796.0,1737.0,295.0
suyash,1283357699.0,730.0,934.0
swalsh,1323546179.0,6777.0,1636.0
swalta,1482143172.0,5.0,6.0
swaraj,1295857427.0,58.0,24.0
swe445,1496147601.0,4.0,15.0
sweetp,1359684516.0,2.0,18.0
swfsql,1506174854.0,2.0,8.0
swiley,1443972854.0,1398.0,740.0
swills,1298604364.0,1503.0,82.0
swozey,1434556254.0,470.0,218.0
sxates,1253280019.0,955.0,170.0
synrst,1488205689.0,7.0,5.0
syrrim,1449617917.0,215.0,163.0
syshum,1466376773.0,2208.0,693.0
syswsi,1381928986.0,349.0,21.0
t1mmen,1472659045.0,2.0,3.0
ta2987,1487899669.0,5.0,2.0
ta4567,1489963236.0,40.0,1.0
tabeth,1436907702.0,2279.0,681.0
tabtab,1499718434.0,63.0,69.0
tadruj,1287435348.0,755.0,138.0
taeric,1284470986.0,4913.0,2657.0
taheca,1440031618.0,44.0,56.0
tai_hn,1470734941.0,10.0,8.0
talles,1371659109.0,2694.0,716.0
talove,1329422721.0,57.0,7.0
tamcap,1461075533.0,107.0,17.0
tammer,1300910377.0,924.0,306.0
tamrix,1430561698.0,33.0,6.0
tandav,1478350189.0,24.0,22.0
taneem,1266354030.0,312.0,36.0
tangue,1333653533.0,2635.0,464.0
tangus,1277212420.0,106.0,30.0
tapoxi,1306810615.0,211.0,95.0
taprun,1387144998.0,361.0,236.0
tarcon,1367592008.0,12.0,8.0
tarr11,1299437787.0,1781.0,593.0
tarunm,1463421131.0,35.0,7.0
tasuki,1328209799.0,206.0,88.0
tau255,1475608783.0,6.0,7.0
taysic,1438303408.0,278.0,332.0
taytus,1306126547.0,3067.0,561.0
tbfaux,1390843383.0,24.0,5.0
tbking,1459273708.0,38.0,27.0
tbrake,1337545012.0,575.0,114.0
tbrock,1347226096.0,3545.0,617.0
tcbawo,1341725097.0,487.0,270.0
tcfunk,1363889141.0,605.0,220.0
tcoppi,1269039536.0,2226.0,434.0
tcrews,1477392684.0,174.0,46.0
tdalaa,1461255538.0,14.0,6.0
tdburn,1334332604.0,21.0,88.0
tdelet,1491932675.0,1.0,2.0
tdowns,1355781176.0,6.0,13.0
tdy721,1433529767.0,247.0,135.0
techHX,1480682160.0,1.0,4.0
techer,1364229034.0,109.0,81.0
techpd,1504912599.0,3.0,2.0
tedd4u,1250470399.0,348.0,88.0
teddyh,1373529727.0,6073.0,2124.0
tedivm,1262123190.0,2340.0,368.0
tehabe,1326675058.0,538.0,294.0
teirce,1423629971.0,152.0,33.0
tejasd,1436940505.0,16.0,4.0
tejasv,1383881989.0,16.0,15.0
tekacs,1300913928.0,2537.0,570.0
tekni5,1386748601.0,140.0,59.0
tellor,1415018566.0,34.0,19.0
temuze,1311088834.0,877.0,275.0
termie,1231319269.0,229.0,42.0
tesnic,1507697177.0,1.0,1.0
th0br0,1367842235.0,1314.0,542.0
th0ma5,1216615210.0,3901.0,1169.0
thadjo,1439241519.0,15.0,17.0
thamer,1191582611.0,1345.0,147.0
thayne,1425422942.0,5.0,9.0
theamk,1462373693.0,198.0,108.0
theden,1482057475.0,212.0,20.0
themgt,1301181640.0,3764.0,568.0
thesis,1294824623.0,374.0,195.0
thex10,1443795532.0,329.0,123.0
thidr0,1487948827.0,3.0,2.0
thijsb,1403266336.0,1.0,7.0
thirru,1355628310.0,17.0,28.0
thogg4,1331165427.0,3.0,4.0
thrden,1458023195.0,173.0,33.0
thresh,1353595428.0,305.0,49.0
thrill,1206935801.0,800.0,346.0
throw7,1366725462.0,282.0,158.0
thuruv,1439318733.0,4.0,19.0
tiatia,1327262345.0,164.0,529.0
tibaba,1488300521.0,5.0,5.0
tibbon,1246554292.0,5026.0,1542.0
tim333,1384789958.0,6639.0,3957.0
timlod,1456830451.0,89.0,17.0
timmyb,1469711864.0,1.0,4.0
timols,1302740098.0,53.0,16.0
timtas,1296606123.0,94.0,106.0
tinbad,1298990998.0,680.0,165.0
tiplus,1338010371.0,298.0,61.0
titzer,1377359596.0,2058.0,415.0
tjalfi,1462411529.0,1406.0,299.0
tjohns,1251300387.0,1482.0,355.0
tjr225,1480335357.0,120.0,54.0
tke248,1282252802.0,8.0,22.0
tlocke,1305623403.0,176.0,29.0
tlogan,1313957488.0,2446.0,725.0
tmcpro,1254604319.0,135.0,24.0
tmkbry,1439923091.0,159.0,13.0
tmnvix,1449211113.0,884.0,295.0
tmpz22,1510686729.0,35.0,1.0
tmsldd,1482269935.0,84.0,106.0
tnt128,1285619826.0,80.0,23.0
to_bpr,1492739429.0,161.0,85.0
toast0,1356225782.0,2669.0,1198.0
toddan,1329834964.0,45.0,54.0
tolger,1399057164.0,32.0,20.0
tolien,1403972230.0,939.0,141.0
tom-_-,1396539779.0,33.0,10.0
tom-jh,1482083664.0,3.0,6.0
tomast,1502802369.0,2.0,2.0
tombot,1294174673.0,164.0,56.0
tomcam,1274062446.0,2830.0,1309.0
tomdre,1491442018.0,29.0,26.0
tomkin,1325445265.0,1206.0,340.0
tomlor,1442250315.0,24.0,6.0
tomovo,1359061382.0,93.0,58.0
tomrod,1291228602.0,2152.0,1261.0
tomxor,1485179969.0,261.0,158.0
tonyhb,1387382180.0,585.0,245.0
toomim,1336212146.0,614.0,217.0
tootie,1315184353.0,3345.0,1201.0
top256,1455495642.0,123.0,44.0
topaxi,1427365064.0,21.0,8.0
toptal,1292813569.0,26.0,23.0
tormeh,1391869362.0,4493.0,2335.0
totony,1400909995.0,155.0,226.0
toypaj,1227469466.0,1.0,11.0
tp3z4u,1491111872.0,96.0,24.0
tplick,1467388910.0,2.0,3.0
tpryme,1275180929.0,19.0,12.0
tremon,1425553180.0,2541.0,1216.0
trento,1481830579.0,5.0,5.0
tres-m,1504292894.0,1.0,2.0
trevos,1498572444.0,12.0,4.0
trevyn,1378321183.0,2313.0,450.0
trhway,1392407929.0,3993.0,2461.0
tribby,1440494475.0,502.0,170.0
trimal,1436131353.0,2.0,3.0
trimbo,1304265703.0,1874.0,520.0
trizic,1456367779.0,48.0,22.0
troika,1455099453.0,199.0,21.0
trymas,1419954301.0,1311.0,326.0
trzeci,1317887501.0,190.0,23.0
tscs37,1471614025.0,737.0,499.0
tsimek,1490038604.0,1.0,4.0
ttflee,1349926345.0,441.0,337.0
tu7001,1438646943.0,426.0,86.0
tudorw,1274971887.0,1177.0,560.0
tutuca,1265949869.0,108.0,49.0
tuxguy,1300262741.0,898.0,209.0
tuxman,1496848301.0,0.0,7.0
tveita,1336254353.0,1292.0,505.0
tvural,1448326499.0,291.0,65.0
tw1010,1502203140.0,581.0,178.0
tweakz,1393702519.0,2880.0,357.0
twiddo,1505155636.0,10.0,8.0
twsted,1270717647.0,1431.0,187.0
tyingq,1437494391.0,14367.0,4614.0
tylery,1486325099.0,14.0,4.0
tyoung,1316811019.0,13.0,91.0
tyrrvk,1400509023.0,15.0,4.0
tyrust,1380680759.0,405.0,104.0
tzaman,1327653752.0,1829.0,622.0
uaydin,1359498020.0,8.0,9.0
ufmace,1362092350.0,2741.0,1233.0
ugh123,1405023857.0,225.0,90.0
ukyrgf,1429883079.0,188.0,97.0
ulkesh,1404223722.0,159.0,25.0
unabst,1433254443.0,1356.0,431.0
uncamy,1410804951.0,1.0,1.0
uneven,1424121922.0,1.0,1.0
unit91,1446139324.0,746.0,180.0
unlmtd,1484761867.0,-13.0,90.0
unohoo,1217197274.0,346.0,201.0
unwind,1237803569.0,6727.0,1502.0
uptown,1242307368.0,49059.0,4805.0
uremog,1442436145.0,355.0,156.0
us7892,1412364552.0,35.0,8.0
usaphp,1280415334.0,4741.0,1222.0
usrusr,1366661040.0,1897.0,1069.0
ussser,1484871223.0,28.0,9.0
utnick,1188475694.0,1843.0,663.0
uuilly,1175565797.0,2786.0,521.0
uvatbc,1455854938.0,36.0,15.0
uvince,1206384288.0,25.0,43.0
v3ss0n,1407399503.0,477.0,57.0
v_elem,1427186366.0,5.0,1.0
vabmit,1217040967.0,744.0,132.0
vacord,1418149424.0,2.0,8.0
valine,1406338593.0,1332.0,260.0
vansan,1499162970.0,1.0,2.0
varenc,1221167690.0,728.0,111.0
vasira,1489680725.0,-1.0,75.0
vatsal,1197040340.0,39.0,18.0
vblord,1343664034.0,203.0,116.0
vecter,1216588365.0,1514.0,557.0
vedses,1501618421.0,2.0,2.0
vela4a,1313543065.0,1.0,2.0
verelo,1325399255.0,1301.0,636.0
vernie,1380926735.0,485.0,198.0
verops,1499101727.0,2.0,1.0
verroq,1250762227.0,1665.0,743.0
vflagr,1478692394.0,5.0,4.0
vfulco,1365776923.0,91.0,122.0
vga805,1440726836.0,29.0,6.0
vhost-,1345237898.0,583.0,239.0
vijayr,1214243401.0,3984.0,1336.0
vikeri,1413188901.0,81.0,48.0
vilius,1282897122.0,90.0,49.0
vinnes,1490962003.0,5.0,1.0
vippat,1507134227.0,1.0,2.0
vira28,1500243839.0,40.0,30.0
vita17,1508885971.0,19.0,21.0
vitomd,1308194229.0,1107.0,96.0
vivekd,1467303014.0,975.0,432.0
vizzah,1297821358.0,446.0,126.0
vkandy,1330478592.0,12.0,2.0
vkanko,1504621343.0,1.0,2.0
vkreso,1452043007.0,153.0,37.0
vlehto,1436779362.0,988.0,703.0
vlozko,1449238187.0,130.0,51.0
vmarsy,1372280101.0,2886.0,702.0
vmasto,1374003747.0,655.0,161.0
volent,1295788252.0,183.0,74.0
vondur,1230337543.0,420.0,192.0
vonnik,1383689420.0,4121.0,955.0
vostok,1453987895.0,890.0,404.0
voycey,1465952019.0,104.0,90.0
vram22,1366316626.0,1109.0,2127.0
vrikis,1380803552.0,170.0,65.0
vrinek,1375087043.0,1.0,2.0
vslira,1444756852.0,111.0,42.0
vtange,1449722969.0,493.0,132.0
vuldin,1370624561.0,86.0,52.0
vuyani,1428434691.0,64.0,71.0
vvoyer,1384211690.0,656.0,168.0
wafelj,1404887912.0,11.0,9.0
wahern,1405472336.0,1993.0,913.0
waivej,1242744920.0,346.0,221.0
waivek,1443628830.0,189.0,38.0
wallzz,1322935628.0,547.0,147.0
wamatt,1329823476.0,2860.0,753.0
wand3r,1492365976.0,856.0,275.0
wanghq,1330391597.0,506.0,186.0
warent,1472287333.0,1116.0,216.0
watwut,1387362690.0,3403.0,1844.0
wazoox,1266673820.0,4377.0,1886.0
wd5gnr,1490899813.0,2.0,4.0
wdages,1357154574.0,71.0,18.0
weavie,1369818498.0,1666.0,634.0
web007,1299801683.0,766.0,213.0
weisen,1486632508.0,1.0,2.0
weitzj,1359891577.0,835.0,307.0
welder,1343667384.0,2385.0,506.0
wenham,1433779207.0,12.0,7.0
wepple,1368008980.0,471.0,268.0
werber,1432837393.0,821.0,242.0
wffurr,1340190624.0,628.0,203.0
why-el,1326431461.0,1695.0,776.0
