user,created,karma,submitted
ysleepy,1348412909.0,376.0,137.0
yufengg,1471375695.0,22.0,1.0
yuribro,1370679991.0,13.0,6.0
yuvadam,1291381293.0,7033.0,790.0
yuvalr1,1389534460.0,29.0,11.0
yuwotm8,1493170441.0,-2.0,1.0
yxhuvud,1254479283.0,1777.0,1072.0
yzombie,1509637794.0,1.0,1.0
zMiller,1481215329.0,49.0,19.0
zackham,1247876086.0,579.0,130.0
zackify,1344058150.0,591.0,228.0
zacvivo,1509996144.0,1.0,2.0
zamalek,1366021296.0,4000.0,1607.0
zanchey,1456273164.0,66.0,33.0
zap-hod,1441201638.0,2.0,2.0
zargath,1318393896.0,21.0,24.0
zcrar70,1225888913.0,654.0,194.0
zedshaw,1240938947.0,8961.0,1030.0
zedwill,1235754582.0,42.0,31.0
zenpaul,1291055780.0,55.0,24.0
zepolen,1202636822.0,1120.0,509.0
zeptomu,1484569621.0,285.0,112.0
zeroxfe,1392469653.0,757.0,185.0
zgavin1,1462211244.0,3.0,6.0
zhte415,1372902470.0,2213.0,1115.0
zigomir,1368299848.0,4.0,2.0
ziikutv,1328024172.0,272.0,244.0
zilitor,1511309828.0,3.0,4.0
zimbatm,1296904909.0,2769.0,1043.0
zimmund,1392496547.0,49.0,25.0
zizek23,1505571606.0,205.0,20.0
zizzles,1466253745.0,103.0,47.0
zkanter,1352411866.0,91.0,16.0
zone411,1281703743.0,773.0,125.0
zorpner,1361822147.0,2656.0,446.0
zouhair,1227752469.0,605.0,281.0
zpallin,1435774250.0,77.0,43.0
ztratar,1327348282.0,1076.0,280.0
zubairq,1405021803.0,134.0,314.0
zupa-hu,1349172413.0,145.0,128.0
zyngaro,1357341302.0,388.0,115.0
zyxzevn,1453180549.0,84.0,23.0
zzalpha,1413479483.0,4104.0,1396.0
zzzcpan,1324999025.0,1890.0,1152.0
01000001,1488968862.0,8.0,12.0
0h4jwy79,1509701094.0,1.0,1.0
0x445442,1473605928.0,335.0,137.0
0xB31B1B,1479705556.0,109.0,24.0
100ideas,1241549462.0,265.0,143.0
1024core,1440708316.0,2959.0,618.0
11928311,1488447564.0,1.0,1.0
120photo,1410021987.0,7.0,8.0
18nleung,1436204028.0,192.0,28.0
19890903,1501241082.0,0.0,6.0
1inuxoid,1286774611.0,9.0,3.0
24gttghh,1456000670.0,595.0,379.0
35673567,1505487601.0,1.0,1.0
3princip,1402578237.0,405.0,112.0
3pt14159,1224607489.0,9478.0,2491.0
52-6F-62,1481309960.0,1179.0,541.0
