user,created,karma,submitted
hunvreus,1284920818.0,2593.0,528.0
hussfelt,1333121149.0,428.0,50.0
hutch120,1496615828.0,10.0,5.0
hutzlibu,1457310071.0,740.0,447.0
hwestiii,1448760641.0,0.0,2.0
hwoolery,1343938331.0,27.0,16.0
hwu2whag,1509997530.0,1.0,4.0
hydragit,1435408520.0,225.0,11.0
hyolyeng,1467052012.0,197.0,2.0
hysterix,1271486641.0,147.0,73.0
hzhou321,1331513381.0,225.0,170.0
iAm25626,1474115866.0,8.0,13.0
iDemonix,1312548899.0,846.0,274.0
iLemming,1423873418.0,90.0,154.0
iRobbery,1456868297.0,27.0,49.0
i_am_olo,1394672975.0,4.0,3.0
iajr39r4,1496415346.0,3.0,1.0
iamcasen,1422300782.0,188.0,84.0
iamd3vil,1418903941.0,699.0,97.0
iamdavid,1509699659.0,4.0,1.0
iamgopal,1331263074.0,133.0,215.0
iamseiko,1386194592.0,24.0,4.0
ianhawes,1283558663.0,647.0,226.0
ibmcloud,1488337580.0,1.0,1.0
icameron,1363369409.0,21.0,19.0
icedchai,1357943619.0,1090.0,760.0
iceman_w,1431246827.0,1.0,3.0
icemelt8,1346068756.0,41.0,60.0
iconjack,1176045593.0,459.0,131.0
icpmacdo,1359503595.0,1833.0,446.0
id122015,1449246450.0,44.0,238.0
idahasen,1472569695.0,2.0,1.0
idbehold,1398197384.0,801.0,211.0
idlecool,1294816800.0,72.0,31.0
idlemind,1391682847.0,75.0,33.0
idorosen,1197609836.0,134.0,36.0
igloofoo,1510619477.0,8.0,6.0
ignation,1494840786.0,1.0,1.0
ignostic,1329995242.0,1791.0,397.0
ihnorton,1319408744.0,1181.0,436.0
ilitirit,1204557588.0,1520.0,424.0
ilovetux,1488957482.0,40.0,25.0
iluvdata,1378879762.0,6.0,20.0
ilzmastr,1364880126.0,127.0,67.0
imagetic,1230915130.0,37.0,31.0
imjohnbo,1330526395.0,1.0,2.0
impendia,1290231464.0,3239.0,668.0
indeed30,1409667454.0,57.0,17.0
indeyets,1299140778.0,105.0,84.0
indycolt,1509623958.0,0.0,3.0
indymike,1329248551.0,308.0,83.0
ineptech,1454434607.0,298.0,60.0
inertial,1468924283.0,425.0,77.0
inestyne,1282258498.0,30.0,27.0
influnza,1489165462.0,13.0,8.0
infomofo,1366118552.0,16.0,20.0
innovate,1261946105.0,312.0,53.0
innumero,1486478152.0,1.0,3.0
insider1,1412150858.0,2.0,1.0
intellix,1444808474.0,28.0,18.0
intended,1287436205.0,2383.0,1374.0
intsunny,1330300722.0,199.0,26.0
iokevins,1404109592.0,378.0,146.0
ioquatix,1254485412.0,851.0,319.0
iosDrone,1498516630.0,20.0,13.0
iperdomo,1383294950.0,3.0,2.0
irishbro,1453401919.0,60.0,13.0
iron0012,1445871318.0,75.0,15.0
irontoby,1392918179.0,160.0,30.0
isaaaaah,1438091361.0,0.0,11.0
islayfan,1505665971.0,2.0,1.0
isomorph,1291661848.0,1016.0,140.0
itamarst,1456323251.0,2309.0,688.0
itisalex,1490923051.0,1.0,1.0
itshoptx,1485869962.0,3.0,5.0
itsthejb,1345799241.0,9.0,5.0
ivan1931,1434792659.0,3.0,2.0
ivanzhao,1227085275.0,500.0,164.0
ivarious,1334034647.0,817.0,45.0
ivyirwin,1237354713.0,88.0,60.0
iwlbebnd,1484349476.0,-16.0,17.0
izzydata,1388488891.0,434.0,283.0
j0hnM1st,1444104624.0,13.0,8.0
j9461701,1492381101.0,232.0,41.0
jD91mZM2,1507785596.0,135.0,12.0
j_zspace,1478016886.0,1.0,2.0
jack7890,1222699996.0,1972.0,320.0
jackfoxy,1255473905.0,3060.0,941.0
jackhack,1214278753.0,833.0,251.0
jackjeff,1339774505.0,159.0,52.0
jackmott,1457464044.0,1835.0,635.0
jacknews,1326419460.0,483.0,220.0
jacksonh,1263568753.0,101.0,27.0
jacob019,1326811748.0,379.0,152.0
jacobreg,1414186201.0,34.0,11.0
jacobush,1439196734.0,1089.0,845.0
jacquesm,1228598598.0,131785.0,32176.0
jader201,1320412009.0,3309.0,444.0
jaequery,1282251865.0,1236.0,648.0
jaffoneh,1267513784.0,142.0,85.0
jagger11,1431737280.0,19.0,19.0
jagger27,1379435643.0,470.0,201.0
jake1317,1481301290.0,11.0,1.0
jakewins,1236611637.0,1083.0,120.0
jakozaur,1230998458.0,2979.0,579.0
jaleel28,1490465731.0,-1.0,2.0
jalfresi,1328127646.0,829.0,291.0
jamarty2,1493673425.0,1.0,1.0
james_pm,1396134264.0,613.0,108.0
jamesash,1275995096.0,101.0,39.0
jameside,1429656320.0,148.0,39.0
jamesrat,1484692913.0,2.0,2.0
jamesrom,1292751782.0,912.0,289.0
jampekka,1470057969.0,76.0,29.0
jancsika,1474241902.0,1162.0,475.0
jandrese,1354062926.0,4792.0,1695.0
jandrusk,1416587091.0,0.0,4.0
jankotek,1482405468.0,435.0,249.0
jannyfer,1465340167.0,40.0,12.0
jarjoura,1296978260.0,967.0,293.0
jarpineh,1302126828.0,110.0,85.0
jasallen,1361676943.0,867.0,234.0
jashmenn,1258475727.0,4269.0,403.0
jasmcole,1414955152.0,297.0,27.0
jasonjei,1278380350.0,1438.0,552.0
jasonl99,1418241192.0,75.0,19.0
jasonmar,1283362703.0,2.0,4.0
jasontan,1272650588.0,1009.0,172.0
jastingo,1437314165.0,178.0,5.0
javajosh,1307749552.0,6519.0,2190.0
javitury,1464256213.0,86.0,37.0
jawspeak,1253141102.0,23.0,20.0
jaycroft,1420091375.0,60.0,19.0
jayemery,1380639125.0,1.0,2.0
jbangert,1353301974.0,262.0,61.0
jbannick,1495754454.0,3.0,2.0
jbarmash,1175490089.0,72.0,38.0
jbdowney,1305595470.0,8.0,138.0
jbergens,1400674191.0,139.0,318.0
jblesage,1268957147.0,167.0,32.0
jbob2000,1407867407.0,2644.0,853.0
jcalabro,1472086494.0,45.0,17.0
jccooper,1308257607.0,1329.0,468.0
jchien17,1498023001.0,5.0,7.0
jcmoscon,1310063163.0,17.0,102.0
jcolella,1483629758.0,42.0,4.0
jcoletti,1396630940.0,1.0,1.0
jcun4128,1506076353.0,37.0,61.0
jcutrell,1360336534.0,377.0,224.0
jdeibele,1324661018.0,208.0,136.0
jdelsman,1216498019.0,130.0,133.0
jdenning,1401489603.0,121.0,49.0
jderoner,1464821788.0,3.0,2.0
jdoliner,1214230636.0,2866.0,563.0
jdorfman,1216373487.0,1604.0,284.0
jdotjdot,1326663241.0,295.0,202.0
jdpedrie,1403528956.0,370.0,77.0
jedanbik,1363982278.0,532.0,267.0
jedisct1,1350016151.0,953.0,303.0
jellicle,1205362054.0,7969.0,1427.0
jemfinch,1250718200.0,4320.0,936.0
jenamety,1479492879.0,48.0,23.0
jenkstom,1400776406.0,184.0,145.0
jeshan25,1444399559.0,2.0,15.0
jest7325,1480522337.0,7.0,15.0
jesuslop,1398009445.0,229.0,152.0
jevanish,1336413528.0,1548.0,147.0
jewbacca,1274187707.0,1401.0,287.0
jfaucett,1296955215.0,3442.0,916.0
jfindley,1397745927.0,662.0,192.0
jfoucher,1295126411.0,1020.0,109.0
jfraiman,1317264757.0,74.0,11.0
jgalt212,1353380030.0,1311.0,1399.0
jganetsk,1175147624.0,2527.0,567.0
jgillich,1377725518.0,471.0,110.0
jgrahamc,1183410227.0,65400.0,6527.0
jharohit,1428303512.0,148.0,94.0
jhmaddox,1326769726.0,-1.0,4.0
jhoechtl,1394460245.0,291.0,191.0
jianzong,1404748201.0,31.0,2.0
jimbo999,1442860359.0,24.0,22.0
jimbokun,1179364696.0,10150.0,3114.0
jimmyb0b,1485994735.0,1.0,1.0
jimwalsh,1351363077.0,142.0,86.0
jinxedID,1338325781.0,30.0,13.0
jisaacso,1373545351.0,268.0,51.0
jivers70,1484934988.0,1.0,1.0
jjgomo33,1467314707.0,5.0,3.0
jjmiller,1475535002.0,2.0,5.0
jjnoakes,1404097942.0,1083.0,769.0
jkereako,1451916512.0,25.0,20.0
jkestner,1334842075.0,1356.0,576.0
jlarocco,1311318776.0,4087.0,1837.0
jldugger,1243215640.0,1849.0,710.0
jlebrech,1329744049.0,875.0,1401.0
jlgaddis,1358727206.0,6984.0,3284.0
jliptzin,1342985741.0,1726.0,395.0
jmarbach,1265991295.0,1875.0,198.0
jmarinez,1177392759.0,30.0,26.0
jmascart,1429887343.0,50.0,2.0
jmcgough,1317890272.0,1768.0,380.0
jmilkbal,1326181456.0,173.0,94.0
jmiserez,1453332983.0,544.0,226.0
jmspring,1281919394.0,3229.0,1324.0
jncraton,1212291936.0,586.0,180.0
jnorth91,1510005853.0,2.0,1.0
jnwatson,1480747761.0,575.0,130.0
joachimH,1501537497.0,1.0,1.0
joakleaf,1320246586.0,399.0,135.0
joantune,1399665455.0,93.0,141.0
joaorico,1379583920.0,915.0,85.0
jobeirne,1197698219.0,1571.0,306.0
jobso4me,1499268855.0,0.0,5.0
joegosse,1420841575.0,91.0,36.0
joeinSFO,1478291845.0,5.0,5.0
joekrill,1244219907.0,775.0,236.0
joering2,1327098748.0,2765.0,1857.0
joetuson,1486423281.0,2.0,2.0
jogundas,1485804149.0,18.0,21.0
johansch,1330691710.0,3333.0,1858.0
johmathe,1427774693.0,7.0,9.0
johnflan,1271532482.0,56.0,44.0
johngalt,1248150204.0,4238.0,963.0
johnking,1345851386.0,105.0,22.0
johnny22,1277150519.0,532.0,512.0
johnny99,1191889165.0,1137.0,197.0
johntran,1474654712.0,27.0,8.0
johnturp,1330618716.0,2.0,2.0
johnvega,1489078923.0,21.0,33.0
johnward,1353516790.0,2689.0,1324.0
johnyzee,1204736274.0,2084.0,656.0
jojohack,1406423322.0,44.0,28.0
jon-wood,1352219901.0,2834.0,999.0
jonaphin,1331671320.0,45.0,72.0
jonatron,1348673752.0,83.0,56.0
joncrane,1467894749.0,71.0,27.0
jonny_eh,1295641909.0,3983.0,1044.0
jonotime,1308315938.0,249.0,22.0
jonpress,1391229330.0,58.0,59.0
jonrkarr,1428774243.0,20.0,13.0
jonssons,1491891958.0,21.0,26.0
jontewks,1504292136.0,12.0,4.0
joombaga,1399396198.0,235.0,102.0
joosters,1359967391.0,9374.0,2176.0
jordache,1417707926.0,442.0,563.0
jordanpg,1411780620.0,898.0,350.0
jordwest,1380427858.0,280.0,41.0
jorgeleo,1285793462.0,505.0,228.0
joshcarr,1272583517.0,106.0,17.0
joshuacc,1257903105.0,15672.0,1719.0
josnyder,1310966722.0,43.0,16.0
josteink,1315224145.0,10497.0,2635.0
jp_rider,1408398572.0,48.0,16.0
jpace121,1376530042.0,913.0,50.0
jpatokal,1350261271.0,11391.0,1842.0
jpepinho,1510704383.0,1.0,1.0
jpfasone,1348753966.0,12.0,1.0
jpillora,1371729795.0,25.0,20.0
jpmattia,1211298927.0,1549.0,395.0
jpwagner,1191286876.0,2091.0,1015.0
jqueryin,1250547999.0,1660.0,664.0
jratelle,1506978703.0,2.0,2.0
jrbedard,1172285077.0,2029.0,262.0
jredburn,1335732844.0,29.0,5.0
jreuben1,1488945873.0,2.0,2.0
jrockway,1179041148.0,50056.0,14474.0
jrudolph,1427698287.0,112.0,39.0
jscalisi,1370294846.0,11.0,29.0
jscholes,1437346588.0,607.0,98.0
jseliger,1204657106.0,37663.0,6563.0
jseutter,1401805343.0,10.0,7.0
jsiepkes,1475909788.0,482.0,81.0
jsjohnst,1293605550.0,1586.0,980.0
jsmeaton,1355624344.0,2704.0,798.0
jsmith_2,1498315046.0,1.0,1.0
jsnathan,1418942187.0,2045.0,352.0
jsoltren,1423497072.0,3.0,3.0
jsperson,1477279003.0,34.0,15.0
jstanley,1336233486.0,5835.0,1472.0
jstejada,1354801401.0,27.0,19.0
jsudhams,1395212759.0,314.0,252.0
jsumrall,1328717421.0,162.0,100.0
jtcond13,1450841945.0,147.0,54.0
