user,created,karma,submitted
msteffen,1418326910.0,60.0,6.0
mstoykov,1501623327.0,3.0,3.0
msurekci,1443567609.0,13.0,21.0
msutherl,1276570985.0,1758.0,756.0
mswift42,1406217550.0,262.0,46.0
mtauraso,1297888536.0,3.0,1.0
mtdewulf,1361325520.0,3.0,2.0
mtgentry,1305320428.0,531.0,138.0
mthomasb,1316048149.0,136.0,36.0
mtreis86,1365766673.0,368.0,152.0
muddysky,1485010985.0,-2.0,5.0
mukundmr,1341887449.0,72.0,71.0
mullsork,1374136155.0,135.0,82.0
multibit,1491414783.0,22.0,9.0
muramira,1465282127.0,218.0,24.0
murbard2,1347474172.0,2299.0,878.0
murphy52,1488310417.0,1.0,2.0
musgrove,1374168805.0,72.0,76.0
musha68k,1436219888.0,991.0,318.0
mushishi,1317142569.0,438.0,109.0
musikele,1418375176.0,-1.0,13.0
mustardo,1486724865.0,8.0,11.0
mvanbaak,1498462562.0,10.0,3.0
mvanveen,1276645132.0,403.0,156.0
mvdwoord,1403947492.0,759.0,114.0
mvermaat,1269623383.0,50.0,21.0
mverwijs,1240506808.0,946.0,306.0
mvindahl,1476250518.0,253.0,131.0
mwpmaybe,1437970127.0,783.0,274.0
mwseibel,1171870331.0,1479.0,795.0
my_ghola,1475764517.0,171.0,67.0
myautsai,1428128707.0,292.0,27.0
myegorov,1310922903.0,68.0,42.0
mzitelli,1399402078.0,11.0,13.0
naasking,1315578541.0,2089.0,1283.0
najajomo,1489412994.0,-18.0,27.0
najati83,1490642704.0,76.0,32.0
namelost,1504115197.0,315.0,86.0
nametube,1501528937.0,50.0,23.0
nanodano,1440004394.0,106.0,77.0
narrator,1276479566.0,6418.0,1672.0
nartam11,1461684077.0,12.0,9.0
natehouk,1341067210.0,-10.0,13.0
natekupp,1317826124.0,77.0,38.0
navbaker,1388112156.0,238.0,110.0
naveen99,1314135810.0,256.0,328.0
nblavoie,1303588343.0,124.0,36.0
nbrempel,1376451053.0,212.0,111.0
ncfausti,1438264862.0,10.0,8.0
nchuhoai,1318793637.0,1100.0,393.0
ndarilek,1390518604.0,1029.0,87.0
nebabyte,1483076242.0,984.0,628.0
necklace,1472065014.0,-7.0,8.0
negativ0,1347702139.0,-1.0,28.0
nek4life,1243477495.0,165.0,57.0
nekitamo,1297366784.0,365.0,147.0
neltnerb,1338154857.0,1063.0,397.0
nemoniac,1224939454.0,362.0,187.0
neophy7e,1434686386.0,2.0,1.0
ner0x652,1435252336.0,317.0,30.0
nerdiiee,1498283987.0,1.0,1.0
nerdponx,1455326394.0,3215.0,1400.0
netcraft,1358188977.0,1149.0,451.0
netghost,1245355497.0,672.0,297.0
netgusto,1397205604.0,484.0,130.0
netham91,1382373496.0,14.0,16.0
netman21,1202158650.0,209.0,107.0
netvarun,1252629433.0,2498.0,269.0
netvisao,1385084767.0,7.0,5.0
neurobot,1485779386.0,43.0,15.0
newman8r,1389200567.0,433.0,315.0
newsat13,1471542305.0,504.0,225.0
newtorob,1469926337.0,5.0,3.0
neximo64,1466540729.0,321.0,168.0
nextstep,1332444253.0,2469.0,530.0
nexus-uw,1368913885.0,4.0,15.0
nfRfqX5n,1492563249.0,11.0,6.0
nfriedly,1188417718.0,3162.0,1023.0
ngokevin,1320664435.0,879.0,286.0
ngsayjoe,1228197120.0,107.0,97.0
nhaehnle,1301002996.0,3102.0,1249.0
nherment,1314895398.0,528.0,109.0
nhorob67,1468160669.0,117.0,35.0
nhumrich,1429460121.0,463.0,179.0
niahmiah,1447087525.0,16.0,21.0
nicwolff,1365604862.0,157.0,86.0
nigrioid,1437448912.0,59.0,16.0
nihonium,1476456560.0,15.0,10.0
nikentic,1364202892.0,193.0,52.0
nikhil13,1490787790.0,1.0,1.0
niklas_a,1285336680.0,612.0,152.0
nikodunk,1488146240.0,464.0,56.0
nikolayb,1335956204.0,10.0,4.0
nimdasys,1507739300.0,1.0,3.0
ninguem2,1226628244.0,354.0,178.0
nippples,1467614296.0,553.0,99.0
nirvdrum,1254967640.0,2032.0,674.0
nish1500,1369819485.0,347.0,114.0
nitemice,1463027084.0,283.0,94.0
nitrogen,1236298121.0,14329.0,7545.0
njharman,1177017326.0,5954.0,2465.0
njwalker,1483455129.0,1.0,1.0
nkane213,1485979860.0,2.0,1.0
nkkollaw,1479672877.0,1532.0,900.0
nmackecj,1496330769.0,0.0,4.0
nmorse54,1493691209.0,1.0,1.0
nmstoker,1417392647.0,236.0,80.0
nnaumann,1433013722.0,4.0,2.0
nneonneo,1459550581.0,2085.0,161.0
noahdesu,1250280061.0,174.0,95.0
nobleach,1309541389.0,695.0,315.0
nodamage,1435296007.0,884.0,248.0
nofunsir,1475873569.0,1.0,2.0
nolamesa,1365424221.0,2.0,1.0
nolemurs,1469813290.0,348.0,101.0
nonsince,1459408767.0,415.0,128.0
norcimo5,1407247954.0,26.0,21.0
normanzb,1506408044.0,1.0,1.0
nostromo,1273119230.0,24291.0,2593.0
notatoad,1203299543.0,9839.0,2562.0
nouveau0,1492754411.0,3.0,8.0
nouveaux,1203928559.0,47.0,9.0
novaleaf,1344234007.0,1180.0,668.0
novorool,1485946903.0,3.0,7.0
noway421,1480552044.0,290.0,193.0
noxToken,1410528413.0,1107.0,431.0
npacenop,1459926289.0,1.0,2.0
npgatech,1466218978.0,600.0,65.0
nphippen,1411128961.0,2.0,3.0
npsimons,1331232487.0,3153.0,1353.0
nquinlan,1307629079.0,7.0,6.0
nraynaud,1175117829.0,2053.0,1196.0
nsamuell,1395324885.0,67.0,31.0
nsantosa,1486055603.0,1.0,3.0
nshunter,1334187987.0,25.0,7.0
nsrivast,1195075817.0,426.0,138.0
ntemposd,1452777981.0,1.0,1.0
nthState,1390512382.0,67.0,60.0
ntrepid8,1361377478.0,192.0,65.0
nudpiedo,1398338409.0,95.0,77.0
nul_byte,1455377103.0,228.0,83.0
null4bl3,1477679668.0,9.0,6.0
nurettin,1361352312.0,654.0,416.0
nutonomy,1485969274.0,6.0,5.0
nvahalik,1439820751.0,245.0,98.0
nycmattw,1387349804.0,15.0,19.0
nzeigler,1499358150.0,1.0,1.0
obastani,1379296685.0,320.0,111.0
obeattie,1211183410.0,788.0,158.0
ocschwar,1434737922.0,1317.0,435.0
octivinc,1507030825.0,1.0,1.0
odabaxok,1422261445.0,249.0,111.0
oelmekki,1308121233.0,1281.0,620.0
ohitsdom,1402535349.0,2823.0,718.0
ojosilva,1297849948.0,754.0,212.0
olalonde,1261051630.0,17457.0,4335.0
olavolav,1489764035.0,5.0,7.0
old_chap,1496346852.0,5.0,8.0
olegious,1284417611.0,1701.0,364.0
oleksiyp,1456169927.0,2.0,13.0
olieidel,1449251087.0,70.0,12.0
olingern,1456170913.0,68.0,27.0
omegbule,1481919043.0,-2.0,4.0
omidraha,1486605787.0,0.0,4.0
ommunist,1341323185.0,730.0,1183.0
omnimike,1346142080.0,8.0,2.0
oneplane,1451782283.0,632.0,220.0
onewland,1250452320.0,367.0,183.0
onikolas,1495088100.0,50.0,17.0
onwardly,1277203763.0,629.0,122.0
opcenter,1366137621.0,26.0,11.0
openloop,1339791644.0,5.0,7.0
optimiz3,1350923793.0,575.0,136.0
oridecon,1357228617.0,840.0,207.0
orixilus,1412691813.0,9.0,12.0
orlandpm,1365364807.0,23.0,10.0
orourkme,1469720365.0,4.0,7.0
orschiro,1445852778.0,125.0,52.0
ortusdux,1266820148.0,744.0,140.0
osamet67,1284399198.0,50.0,83.0
oschrenk,1287399660.0,25.0,6.0
osullivj,1207605797.0,1062.0,512.0
otaviokz,1388590139.0,52.0,38.0
otherme1,1497450771.0,1.0,6.0
otterley,1172084220.0,3065.0,1199.0
otterpro,1394237437.0,177.0,109.0
outcomes,1488439436.0,1.0,4.0
overcast,1451500160.0,4946.0,1868.0
overgard,1258406917.0,5338.0,995.0
overhang,1511197557.0,2.0,12.0
