user,created,karma,submitted
DiNovi,1429546346.0,178.0,124.0
Digory,1467558685.0,222.0,82.0
Dlotan,1402830702.0,15.0,9.0
DonnyV,1276177260.0,862.0,258.0
DougN7,1321368351.0,1329.0,512.0
Dowwie,1388437238.0,3890.0,1295.0
DrNuke,1438659383.0,547.0,547.0
Dryken,1498062688.0,7.0,21.0
EADGBE,1499282367.0,164.0,265.0
EFruit,1364261621.0,126.0,48.0
ENOTTY,1282795682.0,667.0,128.0
Elect2,1486736194.0,110.0,57.0
Elijen,1393934297.0,3.0,1.0
EmlynC,1354457863.0,28.0,18.0
ErikaR,1510155580.0,-6.0,5.0
Euclid,1512176083.0,1.0,1.0
FLGMwt,1417447732.0,959.0,252.0
Fabled,1507711003.0,21.0,4.0
Fannon,1414311856.0,68.0,45.0
Fede_V,1379446667.0,3415.0,376.0
FeeJai,1470501714.0,1.0,1.0
Feniks,1506504997.0,212.0,195.0
Fiahil,1397438597.0,982.0,335.0
Flammy,1392605486.0,671.0,181.0
Fnoord,1481128061.0,1079.0,775.0
Fomite,1369553991.0,3164.0,1451.0
Froyoh,1501625833.0,39.0,49.0
G4BB3R,1431654438.0,0.0,9.0
Gaelan,1462337043.0,758.0,333.0
Geojim,1394766576.0,56.0,14.0
Giorgi,1216421243.0,31.0,81.0
GlennS,1304589914.0,489.0,266.0
GoToRO,1452591166.0,361.0,277.0
Gonzih,1316250376.0,600.0,252.0
Greek0,1483413001.0,8.0,6.0
GuB-42,1489513902.0,516.0,176.0
HNaTTY,1348511916.0,241.0,112.0
Haijal,1498574958.0,9.0,4.0
Harken,1490173449.0,3.0,3.0
Hates_,1205512943.0,2189.0,397.0
Helmet,1475764495.0,324.0,112.0
Hermel,1276275907.0,1557.0,442.0
Herrin,1493654894.0,4.0,2.0
Hilyin,1297361738.0,236.0,61.0
Hondor,1461471900.0,855.0,326.0
Hroble,1492585204.0,3.0,1.0
Hurtak,1420992800.0,305.0,54.0
IanCal,1349472055.0,4157.0,1739.0
Ianvdl,1352226122.0,799.0,116.0
Ibotta,1483477399.0,2.0,5.0
IncRnd,1456008120.0,506.0,655.0
Irreal,1454790541.0,3.0,4.0
IsaacL,1244148759.0,2013.0,661.0
Izmaki,1488319914.0,59.0,25.0
J-dawg,1415012046.0,2005.0,460.0
J0-nas,1472497391.0,60.0,23.0
JCSato,1501912469.0,26.0,16.0
JMCQ87,1367924148.0,210.0,58.0
JVIDEL,1330896381.0,552.0,388.0
JaRail,1421489775.0,44.0,36.0
JackFr,1337202316.0,4205.0,1015.0
JadeNB,1263096729.0,2254.0,1954.0
JakeAl,1432342734.0,81.0,76.0
JamilD,1393087039.0,1803.0,356.0
Jedi72,1477449437.0,189.0,32.0
JelteF,1367056049.0,567.0,203.0
Jemmeh,1430920704.0,576.0,313.0
Jerry2,1436209010.0,9570.0,1093.0
JimmyM,1379012368.0,343.0,170.0
Joeboy,1259450185.0,2984.0,1195.0
Jonnax,1465988735.0,617.0,122.0
JonoBB,1370429155.0,619.0,191.0
Jyefet,1391813915.0,60.0,37.0
K0SM0S,1473384128.0,239.0,101.0
KORraN,1369152950.0,61.0,11.0
KVFinn,1250718911.0,951.0,271.0
Kaedon,1305535465.0,463.0,104.0
Kapura,1362688278.0,769.0,171.0
Kashee,1463572086.0,1.0,3.0
KeitIG,1490346407.0,574.0,16.0
Keverw,1314645486.0,653.0,164.0
Khaine,1375096889.0,652.0,234.0
KimNJF,1503496568.0,0.0,9.0
LanceH,1366118347.0,1229.0,455.0
Lanzaa,1272239127.0,63.0,47.0
Lasher,1345132721.0,332.0,59.0
Layuso,1506500969.0,3.0,2.0
Lazare,1324247422.0,8700.0,1277.0
LocalH,1478215560.0,34.0,25.0
LogicX,1237342479.0,648.0,289.0
Lucadg,1293736004.0,284.0,170.0
M2Ys4U,1370131693.0,727.0,379.0
MBCook,1324744720.0,8753.0,2813.0
MBlume,1264731094.0,2740.0,524.0
MTAlex,1485979902.0,1.0,1.0
M_Grey,1473542272.0,7051.0,2453.0
Magevo,1488543941.0,3.0,17.0
MarkMc,1278147362.0,2646.0,1058.0
MattJT,1506247104.0,1.0,1.0
Mattso,1499100523.0,3.0,1.0
Mayzie,1371277062.0,458.0,102.0
McMini,1483128611.0,81.0,6.0
Meekro,1367994898.0,715.0,166.0
MertsA,1355379572.0,802.0,403.0
MoD411,1451913581.0,24.0,15.0
MrNoad,1488908578.0,-1.0,2.0
MrZipf,1396553899.0,56.0,35.0
MsMowz,1509325929.0,127.0,28.0
Mtinie,1376582832.0,1032.0,360.0
Musaab,1330509429.0,5.0,5.0
NamTaf,1354073319.0,3333.0,838.0
Nanite,1436194528.0,256.0,100.0
Narkov,1327011506.0,200.0,87.0
Navarr,1312669562.0,3548.0,756.0
NavekM,1473425314.0,8.0,5.0
NearAP,1407560873.0,679.0,75.0
Neil44,1433058108.0,239.0,73.0
Nelnet,1464882285.0,2.0,5.0
Nemant,1387357730.0,449.0,78.0
Nition,1476741888.0,1587.0,496.0
Nuance,1475937565.0,522.0,100.0
Nursie,1340604118.0,9986.0,3983.0
Nydhal,1458068987.0,89.0,54.0
