user,story,comment
bqe,14238005,1
bqe,15031922,1
br1,14310652,1
br1,14884992,1
bru,14156954,1
btb,14296959,1
btb,15694118,1
buf,14639967,1
buf,14702676,1
buf,15544378,1
bvi,15368353,1
bwb,15031922,1
c3d,15062225,1
c8g,14002821,1
c8g,14291412,1
c8g,14635013,1
caf,14296959,1
caf,14959288,1
caf,13520891,1
caf,13539552,1
caf,13312629,1
caf,13774006,1
caf,14011793,1
cbr,13437905,1
ce4,13622301,1
ce4,15410953,1
cft,14338411,1
cft,14990137,1
cft,15280064,1
cft,15234207,1
cft,13860890,1
cft,15031922,1
cfv,13593272,1
chj,15052691,1
chj,15321015,1
chm,13718752,1
chx,14403911,1
chx,14939976,1
chx,14757687,1
chx,13365430,1
chx,15432720,1
chx,13755673,1
chx,14835515,1
chx,13684439,1
chx,13797042,1
chx,15473777,1
chx,13531707,1
chx,15243202,1
chx,13924546,1
chx,15826445,1
chx,14779881,1
chx,14373951,1
chx,14649727,1
chx,15916121,1
chx,13719368,1
cju,13541679,1
ckw,15031922,1
cma,15066729,1
cnj,13301832,1
cnj,13541679,1
cpg,13932226,1
cpr,13610146,1
cpr,13498365,1
cpr,14259456,1
cpr,14108797,1
css,15400037,1
ct0,13775667,1
cwe,13755673,1
cwe,15148885,1
d0m,14523523,1
d0m,15066729,1
d0m,13301832,1
d0m,13541679,1
d0m,14486657,1
d23,15786802,1
d33,13790871,1
d33,15480895,1
dap,14189392,1
dap,13775667,1
dc2,14661285,1
dcc,15384262,1
dcx,15867918,1
df3,13840282,1
dfc,13924546,1
dfo,14023198,1
dll,13683110,1
dmm,13774006,1
doh,13301832,1
doh,15384262,1
doh,15446049,1
doh,15148885,1
doh,15601729,1
doh,14688684,1
doh,15824597,1
dpq,15222240,1
dqv,13541162,1
dr_,15478078,1
drp,14688684,1
dsl,15756684,1
dtf,15800676,1
dvh,13372985,1
dvl,13459740,1
dvl,14997799,1
dvt,14310652,1
dvt,13778543,1
dvt,14600873,1
dvt,14911467,1
dvt,13338592,1
dvt,14995165,1
dvt,14462785,1
dvt,14090419,1
dvt,14976028,1
dw2,14238005,1
dwb,15696596,1
dwc,13426896,1
dwg,15644680,1
e0m,15601729,1
e0m,13707547,1
e0m,15824597,1
e0m,13713480,1
e0m,15384262,1
e40,13579226,1
e40,13590123,1
e79,14533116,1
e79,14817557,1
e79,14807779,1
ece,15116719,1
ece,15066729,1
eco,14603879,1
eco,14414712,1
edo,14417758,1
ef4,13364583,1
ef4,15819093,1
efm,15008076,1
egb,15410953,1
eip,13576236,1
ejp,13338592,1
ejz,15789108,1
eli,15601729,1
eli,15824597,1
eli,15148885,1
eli,13816627,1
eli,15384262,1
eli,13404758,1
eli,14688684,1
eli,13857086,1
eli,14990137,1
emu,13955981,1
eob,13668916,1
eof,14238005,1
eof,14531578,1
epa,15478078,1
epa,13840282,1
eps,15747519,1
eps,14029572,1
eps,13824032,1
eps,13421927,1
eps,14182262,1
eps,14068280,1
eps,14437921,1
epx,15424478,1
epx,14997941,1
epx,15041986,1
epx,14701460,1
epx,14369109,1
eru,15407761,1
eru,14486657,1
eru,15772065,1
est,14105489,1
est,14101233,1
est,14403036,1
est,15008636,1
est,15634609,1
est,14997799,1
est,15304242,1
ev9,13541679,1
evv,15453974,1
evv,13533661,1
evv,13312629,1
evv,15237896,1
ewa,15384262,1
ewa,14023198,1
ewa,13541679,1
ews,13541679,1
ews,13301832,1
f2f,15669262,1
f2f,14326439,1
fdr,15502142,1
ff_,14688684,1
ff_,15256603,1
fjw,15384262,1
fjw,15148885,1
fky,15667778,1
fnj,15265507,1
fnj,15304242,1
fnj,13354329,1
fnl,13915808,1
fnl,14790251,1
fnl,13732288,1
fnl,15675582,1
fny,13629593,1
fwx,15089916,1
fwx,13915808,1
fwx,15087831,1
gcr,14338411,1
ggm,15771168,1
ggm,15862494,1
ggm,15417019,1
gh1,14393991,1
gh1,14195664,1
ghc,15824597,1
ghc,15384262,1
ghc,15148885,1
ghc,13541679,1
ghh,15049171,1
gk1,13421298,1
gk1,13741746,1
gk1,15222240,1
gk1,15685454,1
gms,15686442,1
gog,15694926,1
gog,14308189,1
gok,14901051,1
gok,15719262,1
gok,15752022,1
gok,15789108,1
gok,15808124,1
gph,13941923,1
grk,15398550,1
gry,14218270,1
gt2,15719262,1
gt2,14629533,1
gt2,15651510,1
gt_,15421704,1
gt_,15451060,1
gt_,15546536,1
gt_,15393270,1
gt_,15324954,1
gt_,14699397,1
gt_,15451060,1
gt_,15543371,1
gvb,14274033,1
gvb,13559662,1
gxs,14744068,1
gxs,15368353,1
gyu,14238005,1
gz5,13870199,1
h1d,14105721,1
h1d,13610146,1
